task_dir,stage5_mode,agent_decision,agent_verification_status,agent_selected_execution_mode,agent_fallback_to_baseline,agent_shadow_used,agent_shadow_accepted,old_rule_pass,new_rule_pass,target_axis,target_axis_label,cosine_to_target_axis,verifier_rule_version,verifier_decision_reason
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.997156, 0.075335, 0.00226]",silver plug end,1.0,rule_v2_legacy,x=0.9972 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.997238, 0.074248, -0.001866]",silver plug end,1.0,rule_v2_legacy,x=0.9972 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.997549, 0.069532, -0.007783]",plug end,0.999999,rule_v2_legacy,x=0.9975 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.996892, 0.078671, -0.004047]",plug end,0.999999,rule_v2_legacy,x=0.9969 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.997467, 0.070866, -0.006161]",plug end,1.0,rule_v2_legacy,x=0.9975 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.996945, 0.077987, -0.004373]",silver plug end,1.0,rule_v2_legacy,x=0.9969 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000205, 0.001742, 0.999998]",top,0.999999,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[1e-06, 0.00017, 1.0]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.001296, 0.000188, 0.999999]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000858, -0.000233, 1.0]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_pot_on_the_table.__upright/20240824-174612_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000499, 0.000663, 1.0]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_remote_control_on_the_table.__upright/20240824-215031_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.001186, 0.000354, 0.999999]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_remote_control_on_the_table.__upright/20240824-231452_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000795, 0.001091, 0.999999]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_watch_on_the_table.__upright/20240824-171122_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[-0.000933, -0.000457, 0.999999]",top,0.999999,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_can_on_the_table.__lying_flat/20240824-231004_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_mug_on_the_table.__lying_flat/20240824-173433_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_mug_on_the_table.__lying_flat/20240824-203158_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_toy_on_the_table.__lying_flat/20240824-164249_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_watch_on_the_table.__lying_flat/20240824-174500_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_clips_behind_the_can_on_the_table.__clip_sideways/20240824-175428_no_interaction,clip_sideways,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996884, 0.078768, -0.00418]",clip side,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_clips_behind_the_mobile_phone_on_the_table.__clip_sideways/20240824-181521_no_interaction,clip_sideways,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996882, 0.078794, -0.004188]",clip side,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_binder_on_the_table.__lying_flat/20240824-164141_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_bottle_on_the_table.__lying_flat/20240824-185605_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_box_on_the_table.__lying_flat/20240824-220833_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_credit_card_on_the_table.__lying_flat/20240824-195526_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_hammer_on_the_table.__lying_flat/20240824-221011_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_highlighter_on_the_table.__lying_flat/20240824-194743_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_keyboard_on_the_table.__lying_flat/20240824-211639_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_ladle_on_the_table.__lying_flat/20240824-224639_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_remote_control_on_the_table.__lying_flat/20240824-181326_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_toilet_paper_roll_on_the_table.__lying_flat/20240824-171248_no_interaction,lying_flat,reject_stage5_keep_parser_orientation,rejected,fallback_reasoning,True,False,False,False,False,,,,none,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_USB_on_the_table.__cap_left_bottom_right/20240824-174327_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.99791, 0.064299, -0.006467]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_apple_on_the_table.__cap_right_bottom_left/20240824-162905_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996899, 0.078612, -0.003634]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_book_on_the_table.__cap_right_bottom_left/20240824-171015_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.99669, 0.081055, -0.006302]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_bottle_on_the_table.__cap_left_bottom_right/20240824-174956_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.997247, 0.074124, -0.002007]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_bowl_on_the_table.__cap_right_bottom_left/20240824-213659_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.997922, 0.064118, -0.00641]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_hot_glue_gun_on_the_table.__cap_left_bottom_right/20240824-203511_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996995, 0.077383, 0.003552]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_mixer_on_the_table.__cap_left_bottom_right/20240824-161112_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996679, 0.081371, -0.003104]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_mug_on_the_table.__cap_left_bottom_right/20240824-183257_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996686, 0.081323, -0.001905]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_paperweight_on_the_table.__cap_right_bottom_left/20240824-171342_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.99724, 0.074197, 0.00276]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.996846, 0.079222, 0.004769]",silver plug end,1.0,rule_v2_legacy,x=0.9968 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.997241, 0.074214, -0.001809]",silver plug end,1.0,rule_v2_legacy,x=0.9972 threshold=0.35
