task_dir,stage5_mode,agent_decision,agent_verification_status,agent_selected_execution_mode,agent_fallback_to_baseline,agent_shadow_used,agent_shadow_accepted,old_rule_pass,new_rule_pass,target_axis,target_axis_label,cosine_to_target_axis,verifier_rule_version,verifier_decision_reason
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.997496, 0.070298, -0.007685]",plug end,0.999999,rule_v2_legacy,x=0.9975 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.996893, 0.078669, -0.004047]",plug end,1.0,rule_v2_legacy,x=0.9969 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.9975, 0.070415, -0.005946]",plug end,1.0,rule_v2_legacy,x=0.9975 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction,plug_right,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,True,True,"[0.996922, 0.078296, -0.004063]",silver plug end,1.0,rule_v2_legacy,x=0.9969 threshold=0.35
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000157, 0.001681, 0.999999]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[4.5e-05, 0.000381, 1.0]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000959, 0.001694, 0.999998]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[-0.001233, 8.6e-05, 0.999999]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_pot_on_the_table.__upright/20240824-174612_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000329, 0.000903, 1.0]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_remote_control_on_the_table.__upright/20240824-215031_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.001823, 0.000315, 0.999998]",top,0.999999,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_remote_control_on_the_table.__upright/20240824-231452_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.001284, 0.001518, 0.999998]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_watch_on_the_table.__upright/20240824-171122_no_interaction,upright,use_stage5_direct,accepted,stage5_direct_verified,False,False,False,True,True,"[0.000914, 0.000335, 1.0]",top,1.0,rule_v2_legacy,z=1.0000 threshold=0.55
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_can_on_the_table.__lying_flat/20240824-231004_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.005375, -0.027679, -0.999602]",larger face,0.999999,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.005375, -0.027679, -0.999602]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_mug_on_the_table.__lying_flat/20240824-173433_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.006337, -0.035896, -0.999335]",larger face,0.999999,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.006337, -0.035896, -0.999335]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_mug_on_the_table.__lying_flat/20240824-203158_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.001381, -0.019451, -0.99981]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.001381, -0.019451, -0.99981]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_toy_on_the_table.__lying_flat/20240824-164249_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.004653, -0.023937, -0.999703]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.004653, -0.023937, -0.999703]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_watch_on_the_table.__lying_flat/20240824-174500_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.016919, -0.106168, -0.994204]",larger face,0.999999,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.016919, -0.106168, -0.994204]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_clips_behind_the_can_on_the_table.__clip_sideways/20240824-175428_no_interaction,clip_sideways,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996888, 0.078725, -0.004163]",clip side,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_clips_behind_the_mobile_phone_on_the_table.__clip_sideways/20240824-181521_no_interaction,clip_sideways,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996882, 0.078792, -0.004181]",clip side,0.999999,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_binder_on_the_table.__lying_flat/20240824-164141_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.00518, -0.031953, -0.999476]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.00518, -0.031953, -0.999476]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_bottle_on_the_table.__lying_flat/20240824-185605_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[0.002405, 0.180989, -0.983482]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[0.002405, 0.180989, -0.983482]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_box_on_the_table.__lying_flat/20240824-220833_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.005984, -0.094491, -0.995508]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.005984, -0.094491, -0.995508]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_credit_card_on_the_table.__lying_flat/20240824-195526_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[0.009643, 0.051487, -0.998627]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[0.009643, 0.051487, -0.998627]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_hammer_on_the_table.__lying_flat/20240824-221011_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[0.000292, 0.017635, -0.999844]",larger face,0.999999,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[0.000292, 0.017635, -0.999844]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_highlighter_on_the_table.__lying_flat/20240824-194743_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.005305, 0.00695, -0.999962]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.005305, 0.00695, -0.999962]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_keyboard_on_the_table.__lying_flat/20240824-211639_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[0.003649, -0.016587, -0.999856]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[0.003649, -0.016587, -0.999856]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_ladle_on_the_table.__lying_flat/20240824-224639_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.004084, 0.035901, -0.999347]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.004084, 0.035901, -0.999347]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_remote_control_on_the_table.__lying_flat/20240824-181326_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.00541, -0.03444, -0.999392]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.00541, -0.03444, -0.999392]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_toilet_paper_roll_on_the_table.__lying_flat/20240824-171248_no_interaction,lying_flat,use_stage5_conditional_verify,accepted,stage5_conditional_verified,False,False,False,False,True,"[-0.001965, 0.045516, -0.998962]",larger face,1.0,rule_v3_semantic_axis,"semantic_axis cosine=1.0000 threshold=0.85 target_axis=[-0.001965, 0.045516, -0.998962]"
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_USB_on_the_table.__cap_left_bottom_right/20240824-174327_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.997945, 0.063725, -0.006639]",cap,0.999999,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_apple_on_the_table.__cap_right_bottom_left/20240824-162905_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996883, 0.07882, -0.003461]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_book_on_the_table.__cap_right_bottom_left/20240824-171015_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996697, 0.081026, -0.00542]",cap,0.999999,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_bottle_on_the_table.__cap_left_bottom_right/20240824-174956_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.99772, 0.067292, -0.005211]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_bowl_on_the_table.__cap_right_bottom_left/20240824-213659_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.99774, 0.067188, -0.001286]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_hot_glue_gun_on_the_table.__cap_left_bottom_right/20240824-203511_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996992, 0.077478, 0.001909]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_mixer_on_the_table.__cap_left_bottom_right/20240824-161112_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996668, 0.081503, -0.003203]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_mug_on_the_table.__cap_left_bottom_right/20240824-183257_no_interaction,cap_left_bottom_right,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.996654, 0.081676, -0.003249]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_paperweight_on_the_table.__cap_right_bottom_left/20240824-171342_no_interaction,cap_right_bottom_left,shadow_stage5_for_debug,accepted,stage5_shadow_only,True,True,True,True,True,"[0.99745, 0.07123, -0.00455]",cap,1.0,rule_v2_legacy,mode_without_additional_threshold
